tenure,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,tech_support,online_security,streaming_services,churn
9,89.7,704.34,3,Two year,Fiber optic,Bank transfer,No,Yes,No,1
36,76.01,2776.29,6,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
58,58.65,3445.53,4,One year,Fiber optic,Electronic check,No,No,Yes,0
54,62.02,3333.49,7,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
12,76.21,977.14,5,Two year,DSL,Electronic check,No,No,No,1
14,20.59,345.08,4,One year,Fiber optic,Electronic check,No,Yes,No,1
34,27.85,952.06,0,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,1
53,108.13,5708.32,2,Two year,Fiber optic,Electronic check,Yes,No,Yes,0
20,27.79,507.16,9,One year,Fiber optic,Electronic check,Yes,No,No,1
16,90.68,1449.0,8,One year,Fiber optic,Bank transfer,No,Yes,Yes,1
70,112.0,7868.49,8,Month-to-month,Fiber optic,Credit card,No,No,No,0
56,47.07,2619.71,4,Two year,DSL,Electronic check,No,No,No,0
58,57.05,3199.02,2,Month-to-month,DSL,Electronic check,No,Yes,Yes,0
4,76.89,371.0,5,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,1
4,108.17,442.19,4,Month-to-month,DSL,Credit card,No,No,No,1
20,114.19,2264.82,0,One year,Fiber optic,Credit card,No,No,No,1
10,93.96,982.46,1,One year,DSL,Bank transfer,No,No,Yes,1
24,28.66,764.07,4,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,1
26,86.92,2119.82,8,Month-to-month,DSL,Electronic check,No,No,No,1
37,61.03,2279.82,3,One year,Fiber optic,Electronic check,Yes,Yes,Yes,1
54,67.07,3550.45,8,Two year,Fiber optic,Electronic check,No,No,No,1
21,24.91,548.07,2,One year,Fiber optic,Mailed check,No,No,Yes,0
38,39.11,1492.58,0,Month-to-month,DSL,Credit card,No,Yes,Yes,0
46,99.05,4588.09,5,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1
4,65.4,236.64,9,Month-to-month,DSL,Credit card,No,Yes,Yes,1
60,50.17,2916.54,6,Two year,DSL,Credit card,No,No,Yes,0
57,58.4,3306.28,3,Month-to-month,DSL,Credit card,Yes,No,Yes,0
45,105.44,4765.14,9,One year,DSL,Mailed check,No,No,No,1
20,94.9,1948.77,4,Month-to-month,No,Bank transfer,Yes,No,Yes,1
17,47.23,744.32,3,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,0
71,31.75,2305.6,2,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,0
4,45.2,148.41,0,Two year,No,Credit card,No,No,No,1
14,112.08,1587.24,5,Two year,DSL,Credit card,Yes,Yes,No,1
3,78.16,208.99,9,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
58,73.35,4263.41,4,Month-to-month,No,Credit card,No,No,No,0
55,79.64,4424.79,10,Month-to-month,No,Mailed check,No,No,No,0
4,56.6,165.05,0,One year,DSL,Electronic check,No,No,No,1
24,100.71,2383.04,4,One year,Fiber optic,Credit card,No,No,Yes,1
34,72.33,2468.47,5,Month-to-month,DSL,Credit card,No,No,Yes,1
30,31.67,1070.18,9,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
19,32.91,582.13,4,Two year,Fiber optic,Bank transfer,Yes,No,No,0
31,73.69,2386.4,0,One year,Fiber optic,Electronic check,No,Yes,Yes,1
60,113.66,6919.82,4,Month-to-month,DSL,Electronic check,No,Yes,Yes,1
60,50.84,3045.53,9,One year,DSL,Electronic check,Yes,No,Yes,0
19,106.95,2017.14,0,Two year,DSL,Electronic check,No,No,No,1
49,96.41,4689.49,10,One year,DSL,Mailed check,No,No,Yes,1
63,44.78,2817.73,2,Month-to-month,DSL,Credit card,Yes,No,No,0
22,23.63,449.52,1,One year,No,Credit card,No,Yes,Yes,0
24,30.18,720.51,0,One year,DSL,Electronic check,Yes,No,No,1
30,92.85,2860.34,3,One year,DSL,Bank transfer,No,No,Yes,1
58,39.97,2287.71,1,Two year,Fiber optic,Electronic check,No,Yes,No,0
31,57.13,1758.99,4,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,1
64,70.17,4405.82,9,One year,Fiber optic,Bank transfer,No,Yes,Yes,0
19,92.55,1777.15,0,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
48,31.32,1516.58,9,Month-to-month,DSL,Electronic check,Yes,No,No,1
45,60.64,2731.99,0,One year,Fiber optic,Electronic check,No,No,Yes,0
55,68.51,3757.21,10,Two year,Fiber optic,Credit card,Yes,No,No,0
55,74.08,4059.76,9,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
18,101.84,1858.22,3,Two year,No,Bank transfer,Yes,No,Yes,1
63,37.17,2340.27,6,Month-to-month,No,Bank transfer,Yes,Yes,Yes,0
47,100.78,4752.41,1,Month-to-month,No,Credit card,Yes,No,Yes,0
57,89.29,5100.28,1,Month-to-month,DSL,Credit card,No,Yes,No,0
45,75.59,3457.72,0,One year,Fiber optic,Electronic check,No,No,No,0
33,89.95,3002.2,4,One year,No,Electronic check,No,Yes,No,1
17,61.2,1050.04,5,Month-to-month,Fiber optic,Mailed check,No,Yes,No,1
70,33.84,2444.72,5,Month-to-month,DSL,Credit card,Yes,No,Yes,0
4,86.58,367.33,1,One year,Fiber optic,Mailed check,Yes,Yes,No,1
20,72.47,1514.65,6,One year,DSL,Electronic check,No,No,Yes,1
47,83.94,3975.53,5,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,0
15,53.8,714.9,7,Two year,No,Credit card,Yes,No,Yes,1
70,110.69,7813.54,5,One year,Fiber optic,Electronic check,No,No,No,0
47,78.74,3707.54,8,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
9,28.54,254.26,9,Month-to-month,DSL,Electronic check,Yes,No,No,1
16,64.98,1053.75,1,One year,No,Electronic check,Yes,No,No,0
69,95.64,6581.91,6,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,1
61,99.41,6075.36,4,One year,Fiber optic,Credit card,No,Yes,Yes,0
10,69.46,665.01,0,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,1
50,109.47,5537.21,2,One year,DSL,Credit card,Yes,No,Yes,0
3,46.77,134.63,3,Month-to-month,Fiber optic,Electronic check,No,Yes,No,1
70,61.06,4255.07,1,Two year,Fiber optic,Mailed check,No,Yes,No,0
51,109.86,5556.61,6,Two year,No,Credit card,No,No,Yes,0
19,109.63,2096.41,0,Two year,DSL,Electronic check,No,No,Yes,1
42,88.57,3729.3,2,Month-to-month,DSL,Credit card,No,Yes,Yes,1
35,105.9,3725.92,8,Two year,Fiber optic,Credit card,No,No,No,1
46,28.88,1277.12,10,Month-to-month,Fiber optic,Credit card,No,Yes,No,1
26,106.5,2688.94,1,One year,Fiber optic,Credit card,No,No,No,1
69,52.06,3623.42,4,Month-to-month,No,Credit card,No,No,No,0
64,37.83,2495.35,3,One year,DSL,Bank transfer,No,Yes,Yes,0
37,43.94,1574.46,2,Two year,DSL,Bank transfer,No,No,No,0
49,61.8,3107.67,4,Month-to-month,DSL,Bank transfer,Yes,No,No,0
21,45.12,961.72,5,Month-to-month,No,Electronic check,No,No,Yes,1
64,52.06,3331.49,0,Month-to-month,DSL,Bank transfer,No,No,No,0
5,33.5,147.62,1,Month-to-month,Fiber optic,Mailed check,No,Yes,No,1
70,49.62,3404.17,0,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,0
4,77.23,358.31,2,Two year,Fiber optic,Mailed check,Yes,No,No,1
39,64.19,2464.63,7,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,1
35,54.67,1874.46,7,One year,Fiber optic,Electronic check,Yes,No,No,1
1,94.65,144.25,3,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
24,109.35,2530.25,5,Month-to-month,No,Electronic check,Yes,Yes,Yes,1
57,95.68,5377.58,8,Month-to-month,No,Credit card,No,Yes,No,0
70,53.2,3723.09,6,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,0
41,94.44,3886.7,1,One year,No,Credit card,Yes,No,Yes,0
54,35.2,1925.04,10,Month-to-month,DSL,Bank transfer,No,Yes,No,0
46,33.03,1504.29,1,One year,Fiber optic,Bank transfer,Yes,No,No,0
60,54.56,3400.12,2,Month-to-month,Fiber optic,Mailed check,No,No,Yes,0
60,100.77,6034.81,7,Two year,Fiber optic,Credit card,No,Yes,Yes,0
57,44.63,2532.37,9,Two year,DSL,Mailed check,Yes,No,Yes,0
31,26.33,776.38,8,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,1
24,33.17,802.28,2,Month-to-month,DSL,Electronic check,Yes,No,Yes,1
36,105.87,3842.07,8,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
30,83.38,2561.58,9,One year,DSL,Electronic check,Yes,Yes,Yes,0
24,45.32,1013.22,7,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
30,75.53,2253.6,4,One year,Fiber optic,Electronic check,No,Yes,Yes,0
7,72.76,531.66,10,Month-to-month,Fiber optic,Bank transfer,No,No,No,1
35,85.54,3023.25,9,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
55,43.32,2382.93,2,Month-to-month,DSL,Electronic check,No,Yes,No,0
14,106.44,1517.28,10,Month-to-month,DSL,Bank transfer,Yes,Yes,Yes,1
10,50.94,468.95,6,One year,Fiber optic,Bank transfer,No,Yes,Yes,1
16,89.41,1508.46,8,Month-to-month,No,Credit card,Yes,Yes,Yes,1
54,21.61,1216.57,5,Two year,Fiber optic,Mailed check,Yes,No,Yes,0
70,57.27,3941.65,2,One year,Fiber optic,Electronic check,No,No,No,0
44,55.17,2373.72,4,Month-to-month,No,Credit card,No,No,No,0
45,74.35,3293.4,6,Month-to-month,No,Bank transfer,Yes,No,No,0
56,27.27,1561.02,7,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,0
57,99.01,5579.33,3,One year,Fiber optic,Bank transfer,No,Yes,No,0
21,41.78,860.83,1,Month-to-month,No,Electronic check,Yes,Yes,No,1
68,87.7,5986.34,9,Month-to-month,No,Electronic check,Yes,Yes,No,0
50,100.32,5012.69,1,Month-to-month,Fiber optic,Electronic check,Yes,No,No,0
33,76.19,2527.21,2,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,1
7,94.09,605.34,7,Two year,Fiber optic,Electronic check,No,No,Yes,1
70,86.19,6063.04,0,Two year,Fiber optic,Electronic check,Yes,Yes,No,0
15,55.55,802.59,6,Month-to-month,No,Electronic check,No,No,No,1
32,100.89,3212.25,5,One year,Fiber optic,Electronic check,No,Yes,No,0
20,49.47,1001.29,1,Two year,DSL,Mailed check,No,No,No,1
15,77.12,1161.95,8,Month-to-month,DSL,Electronic check,No,Yes,Yes,1
48,94.54,4539.12,4,One year,No,Credit card,Yes,Yes,Yes,0
71,57.9,4073.37,1,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,0
21,50.28,1040.9,2,One year,Fiber optic,Electronic check,No,Yes,Yes,1
42,65.93,2769.17,6,One year,DSL,Credit card,Yes,Yes,Yes,0
26,101.8,2578.05,6,Two year,Fiber optic,Electronic check,No,Yes,Yes,1
14,112.99,1558.73,9,Month-to-month,DSL,Bank transfer,No,No,Yes,1
57,74.51,4266.45,0,One year,Fiber optic,Electronic check,No,Yes,Yes,0
37,86.15,3123.68,9,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
58,110.33,6456.97,10,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,1
21,29.85,690.33,10,Two year,No,Mailed check,No,No,No,1
69,43.21,2919.23,3,One year,DSL,Electronic check,Yes,No,No,0
3,90.89,340.55,5,Month-to-month,DSL,Electronic check,Yes,No,No,1
37,102.37,3780.51,7,One year,DSL,Bank transfer,No,Yes,No,0
49,105.7,5200.23,2,Month-to-month,DSL,Credit card,No,Yes,No,0
19,61.51,1143.86,2,Month-to-month,DSL,Bank transfer,No,No,No,1
12,28.93,393.31,7,One year,Fiber optic,Credit card,No,Yes,No,1
61,63.78,3910.88,7,One year,Fiber optic,Electronic check,Yes,No,Yes,0
41,43.07,1725.16,7,Month-to-month,No,Electronic check,No,No,No,1
33,49.12,1562.7,0,One year,DSL,Mailed check,No,No,Yes,0
50,97.23,4788.48,7,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,0
68,27.55,1882.8,7,Month-to-month,No,Credit card,Yes,Yes,No,0
71,102.76,7324.58,1,Month-to-month,DSL,Electronic check,No,Yes,No,0
33,62.77,2103.96,8,Two year,Fiber optic,Bank transfer,Yes,No,Yes,1
24,79.61,1904.74,6,Two year,Fiber optic,Mailed check,Yes,No,No,0
61,28.97,1709.32,7,Month-to-month,Fiber optic,Electronic check,No,No,Yes,0
61,53.74,3244.04,1,Month-to-month,Fiber optic,Electronic check,No,Yes,No,0
28,28.97,868.78,3,One year,DSL,Credit card,No,Yes,No,0
58,116.15,6712.47,6,One year,Fiber optic,Credit card,No,No,Yes,0
43,100.73,4338.56,5,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,1
41,65.96,2650.58,6,Month-to-month,DSL,Credit card,Yes,Yes,Yes,0
39,42.36,1668.87,0,Two year,No,Electronic check,No,Yes,Yes,0
49,113.35,5531.27,7,One year,Fiber optic,Bank transfer,No,Yes,No,1
17,54.46,978.16,6,Month-to-month,Fiber optic,Electronic check,No,No,No,1
70,36.1,2565.68,3,One year,No,Electronic check,Yes,Yes,Yes,0
70,76.32,5317.61,0,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,0
65,114.38,7428.37,7,Month-to-month,DSL,Electronic check,Yes,Yes,No,0
5,20.38,74.34,9,Two year,Fiber optic,Electronic check,Yes,No,No,1
2,43.81,16.65,6,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,1
22,113.84,2461.61,7,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,1
57,37.11,2125.18,9,Month-to-month,No,Electronic check,No,Yes,Yes,0
66,31.32,2083.38,0,Two year,DSL,Electronic check,No,Yes,No,0
16,77.02,1239.75,4,One year,DSL,Electronic check,Yes,No,No,0
51,106.18,5400.09,8,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,1
39,67.71,2687.34,4,One year,Fiber optic,Credit card,No,No,No,1
40,119.46,4781.58,9,Month-to-month,DSL,Bank transfer,Yes,Yes,No,1
38,87.92,3376.12,2,Month-to-month,No,Credit card,No,No,No,0
60,27.41,1555.91,8,One year,DSL,Electronic check,No,Yes,No,0
59,119.28,6841.4,8,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,1
10,60.79,622.09,3,Two year,No,Electronic check,Yes,No,Yes,1
64,48.74,3048.12,3,One year,Fiber optic,Credit card,No,No,No,0
63,75.79,4764.15,10,Month-to-month,No,Credit card,Yes,Yes,Yes,0
49,50.43,2455.97,7,One year,DSL,Electronic check,Yes,Yes,No,0
64,28.65,1912.97,6,Month-to-month,DSL,Electronic check,No,No,No,0
32,20.14,664.48,10,One year,Fiber optic,Mailed check,No,No,Yes,1
7,64.96,463.01,4,Month-to-month,No,Bank transfer,No,No,Yes,1
21,103.69,2219.34,5,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
20,77.23,1563.02,2,One year,DSL,Electronic check,No,No,No,0
26,119.92,3095.04,5,Two year,Fiber optic,Mailed check,Yes,Yes,Yes,1
68,48.68,3363.81,7,Month-to-month,DSL,Mailed check,Yes,No,No,0
15,48.05,665.26,9,Month-to-month,No,Mailed check,Yes,Yes,Yes,1
14,35.97,519.74,10,Month-to-month,DSL,Mailed check,No,Yes,No,1
27,36.41,905.69,8,Month-to-month,No,Electronic check,No,No,No,1
40,48.52,1951.0,2,Month-to-month,Fiber optic,Credit card,No,No,No,1
58,99.28,5767.89,7,One year,Fiber optic,Electronic check,Yes,Yes,No,0
28,110.58,3180.06,2,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
26,117.51,2977.01,1,Two year,DSL,Credit card,Yes,No,Yes,1
63,43.23,2693.45,4,Month-to-month,No,Electronic check,Yes,Yes,Yes,0
66,108.13,7177.71,3,Two year,DSL,Electronic check,No,No,Yes,0
25,52.83,1337.52,4,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
3,31.28,102.86,5,Two year,Fiber optic,Bank transfer,Yes,Yes,No,1
72,107.0,7656.19,2,Month-to-month,No,Electronic check,No,No,No,0
44,83.61,3649.3,0,One year,DSL,Mailed check,No,No,No,0
42,36.47,1593.99,3,Month-to-month,Fiber optic,Electronic check,Yes,No,No,0
6,62.98,375.3,5,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
39,48.73,1919.24,1,Month-to-month,DSL,Electronic check,No,No,Yes,1
52,93.68,4865.6,1,Month-to-month,DSL,Mailed check,Yes,Yes,No,0
23,65.34,1443.67,0,One year,Fiber optic,Bank transfer,No,No,Yes,0
50,118.93,5993.19,8,One year,DSL,Credit card,Yes,No,No,0
43,25.47,1120.37,2,One year,Fiber optic,Bank transfer,Yes,Yes,Yes,0
19,55.5,1169.78,1,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,1
69,68.19,4654.33,3,Month-to-month,No,Bank transfer,No,Yes,No,0
51,70.31,3626.94,5,Two year,Fiber optic,Electronic check,Yes,No,No,0
11,51.59,501.91,0,One year,Fiber optic,Bank transfer,No,No,Yes,1
12,92.92,1122.91,8,Month-to-month,DSL,Credit card,No,No,Yes,1
8,107.47,908.59,8,One year,Fiber optic,Credit card,Yes,Yes,Yes,1
24,113.87,2629.27,7,Two year,No,Mailed check,No,No,No,1
41,100.51,4110.66,5,Two year,DSL,Electronic check,No,No,Yes,0
36,105.06,3754.0,3,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,1
72,75.05,5368.5,1,Two year,Fiber optic,Bank transfer,Yes,Yes,Yes,0
55,102.59,5661.71,7,Month-to-month,Fiber optic,Bank transfer,No,No,No,1
9,50.35,509.18,6,One year,Fiber optic,Electronic check,Yes,Yes,Yes,1
47,59.85,2806.29,3,Month-to-month,DSL,Electronic check,No,No,Yes,1
15,51.69,785.62,2,One year,Fiber optic,Mailed check,Yes,No,No,1
48,66.74,3209.24,5,One year,DSL,Electronic check,Yes,No,No,0
42,48.56,2039.61,0,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,0
60,116.16,6915.13,1,Month-to-month,Fiber optic,Credit card,No,No,No,0
70,51.28,3645.02,6,One year,No,Mailed check,Yes,No,No,0
12,29.8,372.36,10,Month-to-month,DSL,Electronic check,Yes,No,No,1
2,72.68,165.1,2,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,1
7,25.71,139.64,0,Month-to-month,Fiber optic,Bank transfer,No,No,No,1
3,31.05,70.19,1,One year,DSL,Electronic check,Yes,Yes,No,0
3,41.94,117.01,9,Two year,Fiber optic,Credit card,Yes,No,No,1
27,66.44,1717.17,9,One year,DSL,Electronic check,Yes,Yes,Yes,1
40,63.33,2448.8,8,Month-to-month,DSL,Electronic check,No,Yes,Yes,1
33,99.97,3268.97,6,Month-to-month,DSL,Bank transfer,No,No,No,1
1,93.95,120.08,6,Month-to-month,DSL,Credit card,No,No,No,1
8,62.63,468.38,9,Two year,No,Mailed check,Yes,Yes,No,1
32,53.37,1656.9,7,Month-to-month,DSL,Bank transfer,Yes,Yes,Yes,1
48,51.65,2438.47,7,Month-to-month,No,Credit card,No,Yes,Yes,1
4,97.4,366.83,8,One year,Fiber optic,Bank transfer,No,No,No,1
70,25.21,1747.01,1,Two year,Fiber optic,Mailed check,Yes,Yes,Yes,0
19,21.28,512.6,7,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
32,99.55,3238.33,7,Month-to-month,No,Bank transfer,No,Yes,No,1
9,67.71,660.63,4,One year,Fiber optic,Bank transfer,Yes,No,No,1
12,33.09,455.51,4,One year,No,Bank transfer,Yes,No,No,1
11,43.56,429.22,3,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,1
46,113.25,5148.38,4,One year,DSL,Electronic check,Yes,Yes,No,0
16,105.95,1639.86,1,Month-to-month,No,Credit card,Yes,No,No,1
1,90.98,157.71,1,Two year,No,Electronic check,Yes,No,No,1
63,68.22,4270.5,4,Month-to-month,DSL,Electronic check,Yes,No,No,0
21,72.03,1450.06,10,Month-to-month,No,Credit card,Yes,No,No,1
30,117.52,3504.05,2,One year,Fiber optic,Mailed check,Yes,Yes,Yes,1
13,116.58,1503.61,0,One year,No,Bank transfer,Yes,Yes,No,1
34,41.53,1425.44,8,One year,No,Credit card,Yes,Yes,Yes,0
4,101.11,416.99,1,One year,No,Mailed check,No,Yes,Yes,1
28,39.72,1070.75,9,Month-to-month,No,Credit card,No,No,Yes,1
59,41.35,2473.93,1,Month-to-month,DSL,Credit card,No,No,Yes,0
27,87.61,2333.51,3,Month-to-month,DSL,Bank transfer,No,No,No,1
69,60.5,4166.69,1,Two year,DSL,Credit card,No,Yes,No,0
25,113.15,2863.09,6,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,1
3,28.9,54.61,9,Month-to-month,Fiber optic,Credit card,No,Yes,No,1
68,71.15,4809.73,0,Month-to-month,Fiber optic,Credit card,No,No,No,0
25,111.85,2825.83,10,Two year,Fiber optic,Electronic check,No,No,No,1
20,110.41,2165.31,1,Two year,Fiber optic,Credit card,Yes,Yes,Yes,1
34,35.65,1192.86,10,Two year,No,Mailed check,Yes,No,No,1
26,56.66,1500.95,4,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,1
5,81.91,512.25,1,One year,Fiber optic,Credit card,No,No,Yes,0
61,35.94,2222.61,8,Month-to-month,DSL,Credit card,Yes,Yes,No,0
9,116.8,1074.83,3,Month-to-month,DSL,Bank transfer,No,No,No,1
50,111.47,5600.04,8,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,No,1
6,36.7,166.54,10,Month-to-month,Fiber optic,Credit card,No,No,No,1
60,32.12,1932.98,0,One year,Fiber optic,Electronic check,Yes,Yes,No,0
44,28.54,1254.27,0,Two year,Fiber optic,Bank transfer,No,No,No,0
11,110.94,1236.42,0,Month-to-month,DSL,Bank transfer,Yes,No,No,1
66,39.36,2603.59,3,Two year,DSL,Bank transfer,No,No,Yes,0
47,61.63,2915.59,8,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,1
3,64.89,179.1,7,Month-to-month,DSL,Credit card,No,No,Yes,1
30,79.9,2399.93,6,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
21,27.17,509.18,0,Month-to-month,No,Mailed check,Yes,Yes,Yes,0
28,42.68,1179.04,2,Month-to-month,DSL,Bank transfer,No,No,Yes,1
62,113.15,7084.84,8,One year,Fiber optic,Credit card,Yes,Yes,No,0
33,110.84,3673.66,8,One year,Fiber optic,Credit card,Yes,No,No,1
35,98.13,3433.5,4,Two year,Fiber optic,Bank transfer,No,Yes,No,1
52,21.94,1235.69,5,Month-to-month,DSL,Electronic check,No,No,No,0
34,52.7,1723.76,10,One year,No,Credit card,No,Yes,No,1
41,82.8,3339.33,5,One year,DSL,Bank transfer,No,Yes,No,0
51,47.52,2509.16,9,Two year,Fiber optic,Bank transfer,No,No,Yes,0
47,110.96,5217.42,3,Month-to-month,Fiber optic,Mailed check,No,No,Yes,1
58,83.39,4824.49,0,Two year,DSL,Credit card,Yes,No,No,0
57,27.19,1489.87,4,One year,DSL,Electronic check,No,Yes,No,0
23,110.9,2573.08,0,One year,DSL,Credit card,No,No,Yes,1
48,115.78,5584.66,0,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1
22,27.77,556.22,10,Month-to-month,DSL,Electronic check,Yes,Yes,No,1
17,73.24,1238.07,4,Month-to-month,No,Credit card,No,No,No,1
69,50.34,3456.68,4,Month-to-month,DSL,Bank transfer,No,No,Yes,0
11,59.28,664.88,6,Month-to-month,No,Bank transfer,No,Yes,No,1
15,37.97,513.59,1,Two year,No,Bank transfer,Yes,Yes,No,0
35,77.81,2785.95,5,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,1
33,115.8,3867.19,1,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,1
16,70.31,1106.8,9,Month-to-month,DSL,Credit card,Yes,No,No,1
34,28.29,951.04,4,Month-to-month,No,Credit card,No,No,No,1
66,82.0,5405.18,3,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1
40,54.02,2121.88,10,One year,No,Bank transfer,No,No,Yes,1
28,105.59,2934.35,9,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
47,63.47,2969.58,4,One year,No,Electronic check,No,No,Yes,0
39,39.28,1612.56,1,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1
70,39.11,2785.03,7,Two year,No,Mailed check,Yes,Yes,No,0
20,96.88,1984.33,7,Two year,DSL,Electronic check,Yes,Yes,Yes,1
1,46.56,65.06,5,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
72,96.72,6907.97,2,Two year,Fiber optic,Credit card,Yes,Yes,Yes,0
63,40.59,2555.1,3,Month-to-month,Fiber optic,Electronic check,No,Yes,No,0
67,52.17,3543.91,0,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,0
4,66.55,203.29,8,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1
58,114.32,6662.39,9,Month-to-month,DSL,Bank transfer,Yes,No,Yes,1
25,113.17,2945.38,4,Two year,Fiber optic,Electronic check,Yes,Yes,No,1
47,40.69,1965.52,7,Month-to-month,Fiber optic,Electronic check,Yes,No,No,1
38,55.82,2191.86,2,Month-to-month,DSL,Bank transfer,No,No,Yes,1
15,34.94,535.02,3,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
63,71.0,4521.4,3,One year,DSL,Credit card,No,No,No,0
21,66.06,1351.37,7,Two year,DSL,Electronic check,No,Yes,No,1
57,110.08,6314.35,8,One year,Fiber optic,Electronic check,No,Yes,No,0
53,113.0,6021.72,2,Month-to-month,No,Credit card,Yes,No,No,0
46,58.36,2699.06,6,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
14,69.17,1034.18,8,Month-to-month,No,Mailed check,Yes,No,Yes,1
17,109.62,1836.6,1,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
39,100.67,3916.78,3,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,1
9,20.37,188.1,2,Month-to-month,DSL,Electronic check,No,No,No,1
6,52.01,260.58,7,Two year,No,Bank transfer,No,Yes,Yes,1
23,62.18,1441.49,3,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,1
59,42.97,2449.28,8,Two year,Fiber optic,Electronic check,No,No,No,0
46,39.96,1890.51,0,Two year,DSL,Mailed check,Yes,No,Yes,0
38,23.78,905.97,0,Two year,No,Bank transfer,Yes,No,No,0
14,84.34,1154.72,3,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,1
72,46.25,3288.28,2,Two year,No,Electronic check,Yes,No,Yes,0
62,25.23,1552.53,2,One year,DSL,Electronic check,Yes,Yes,Yes,0
35,43.1,1542.91,9,One year,DSL,Electronic check,Yes,Yes,Yes,0
19,100.19,1931.0,1,Month-to-month,DSL,Credit card,Yes,No,Yes,1
30,105.15,3119.22,9,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1
25,68.31,1665.45,9,Two year,No,Bank transfer,Yes,Yes,Yes,1
40,61.61,2497.24,1,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,0
14,117.79,1612.94,7,Month-to-month,DSL,Credit card,No,No,Yes,1
26,40.06,1044.56,0,Month-to-month,Fiber optic,Mailed check,No,No,No,1
22,41.54,920.07,7,Two year,Fiber optic,Electronic check,No,No,No,1
48,49.19,2376.72,9,Month-to-month,DSL,Mailed check,Yes,No,Yes,0
51,37.28,1944.19,2,Two year,No,Bank transfer,No,No,Yes,0
